Workload,Replicas_1,Replicas_2,Replicas_3,Latency
55.0,1,1,1,0.018
65.0,1,1,1,0.048
75.0,1,1,1,0.18
55.0,1,1,2,0.045
65.0,1,1,2,1.941
75.0,1,1,2,5.613
55.0,1,1,3,0.086
65.0,1,1,3,2.626
75.0,1,1,3,6.537
55.0,1,2,1,0.052
65.0,1,2,1,2.067
75.0,1,2,1,5.927
55.0,1,2,2,0.074
65.0,1,2,2,2.355
75.0,1,2,2,5.988
55.0,1,2,3,0.019
65.0,1,2,3,0.041
75.0,1,2,3,0.222
55.0,1,3,1,0.075
65.0,1,3,1,2.416
75.0,1,3,1,6.821
55.0,1,3,2,0.085
65.0,1,3,2,2.734
75.0,1,3,2,6.319
55.0,1,3,3,0.095
65.0,1,3,3,3.237
75.0,1,3,3,7.235
55.0,2,1,1,25.81
65.0,2,1,1,0.14
75.0,2,1,1,4.081
55.0,2,1,2,0.046
65.0,2,1,2,0.165
75.0,2,1,2,3.91
55.0,2,1,3,0.041
65.0,2,1,3,0.247
75.0,2,1,3,3.887
55.0,2,2,1,0.039
65.0,2,2,1,0.107
75.0,2,2,1,3.245
55.0,2,2,2,0.032
65.0,2,2,2,0.165
75.0,2,2,2,2.959
55.0,2,2,3,0.048
65.0,2,2,3,0.113
75.0,2,2,3,2.46
55.0,2,3,1,0.03
65.0,2,3,1,0.081
75.0,2,3,1,2.54
55.0,2,3,2,0.033
65.0,2,3,2,0.109
75.0,2,3,2,2.367
55.0,2,3,3,0.024
65.0,2,3,3,0.117
75.0,2,3,3,2.315
55.0,3,1,1,0.046
65.0,3,1,1,0.182
75.0,3,1,1,2.702
55.0,3,1,2,0.042
65.0,3,1,2,0.169
75.0,3,1,2,2.554
55.0,3,1,3,0.044
65.0,3,1,3,0.158
75.0,3,1,3,2.381
55.0,3,2,1,0.033
65.0,3,2,1,0.1
75.0,3,2,1,2.007
55.0,3,2,2,0.037
65.0,3,2,2,0.09
75.0,3,2,2,1.809
55.0,3,2,3,0.017
65.0,3,2,3,0.026
75.0,3,2,3,0.055
55.0,3,3,1,0.034
65.0,3,3,1,0.092
75.0,3,3,1,1.343
55.0,3,3,2,0.027
65.0,3,3,2,0.079
75.0,3,3,2,1.083
55.0,3,3,3,0.048
65.0,3,3,3,0.114
75.0,3,3,3,1.797